id,Disease,Year,Summed_Cost,Weighted_Prevalence
1,Upper Respiratory Infectons,2011,49062626.53,0
1,Upper Respiratory Infectons,2012,32967970.13,0
2,Acute Bronchitis and Bronchiolitis,2011,4410475.073,0
2,Acute Bronchitis and Bronchiolitis,2012,5171282.785,0
2,Acute Respiratory Diagnoses - Moderate,2011,2909872.891,0
2,Acute Respiratory Diagnoses - Moderate,2012,3022502.947,0
2,Acute Skin Diagnoses,2011,6062732.147,0
2,Acute Skin Diagnoses,2012,6926223.505,0
2,Acute Stress and Anxiety,2011,2440269.963,0
2,Acute Stress and Anxiety,2012,2785417.944,0
2,ADHD,2011,6247441.11,0
2,ADHD,2012,8455801.944,0
2,Allergies,2011,3005761.061,0
2,Allergies,2012,3443529.52,0
2,Asthma,2011,3803297.021,0
2,Asthma,2012,4312084.15,0
2,Autism,2011,1229746.519,0
2,Autism,2012,1699715.064,0
2,BiPolar,2011,1251851.596,0
2,BiPolar,2012,1992266.55,0
2,Chronic Mental Health,2011,3102051.582,0
2,Chronic Mental Health,2012,5057312.977,0
2,Chronic Stress,2011,477840.7005,0
2,Chronic Stress,2012,1021780.187,0
2,Conduct and Behavior,2011,4346986.103,0
2,Conduct and Behavior,2012,5294542.925,0
2,Conjunctivitis and Eye Diagnoses,2011,0,0
2,Conjunctivitis and Eye Diagnoses,2012,0,0
2,Dental Diagnoses,2011,5319417.693,0
2,Dental Diagnoses,2012,5574135.817,0
2,Depression,2011,3340426.025,0
2,Depression,2012,5915672.301,0
2,Depressive and Other Psychoses,2011,2397557.252,0
2,Depressive and Other Psychoses,2012,4331875.745,0
2,Developmental Language Disorder,2011,1449940.318,0
2,Developmental Language Disorder,2012,1650108.568,0
2,Developmental Speech and Learning,2011,1497433.16,0
2,Developmental Speech and Learning,2012,1604144.499,0
2,Diabetes2,2011,478954.8325,0
2,Diabetes2,2012,789308.5295,0
2,Epilepsy and Epilepsy Complex,2011,304307.6007,0
2,Epilepsy and Epilepsy Complex,2012,270368.2898,0
2,Major Mental Health,2011,12370478.47,0
2,Major Mental Health,2012,21962835.96,0
2,Psoriasis,2011,356581.7098,0
2,Psoriasis,2012,408489.9543,0
2,Schizophrenia,2011,1682205.595,0
2,Schizophrenia,2012,3035384.137,0
2,Social Problems,2011,2364611.473,0
2,Social Problems,2012,4043328.766,0
2,Upper Respiratory Infectons,2011,15652609.81,0
2,Upper Respiratory Infectons,2012,17056518.81,0
4,Acute Bronchitis and Bronchiolitis,2011,20823624.36,0
4,Acute Bronchitis and Bronchiolitis,2012,28672030.25,0
4,Acute Respiratory Diagnoses - Moderate,2011,10840617.89,0
4,Acute Respiratory Diagnoses - Moderate,2012,13886789.73,0
4,Acute Skin Diagnoses,2011,27309775.83,0
4,Acute Skin Diagnoses,2012,34303334.81,0
4,Acute Stress and Anxiety,2011,3873050.66,0
4,Acute Stress and Anxiety,2012,3922070.308,0
4,ADHD,2011,23567824.99,0
4,ADHD,2012,25050614.35,0
4,Allergies,2011,31978004.62,0
4,Allergies,2012,36501172.74,0
4,Asthma,2011,29047568.49,0
4,Asthma,2012,33275911.95,0
4,Autism,2011,32000842.37,0
4,Autism,2012,35458089.55,0
4,BiPolar,2011,2430654.65,0
4,BiPolar,2012,2565690.826,0
4,Chronic Mental Health,2011,5282963.053,0
4,Chronic Mental Health,2012,6791727.953,0
4,Chronic Stress,2011,1466139.848,0
4,Chronic Stress,2012,1462084.685,0
4,Conduct and Behavior,2011,6526674.418,0
4,Conduct and Behavior,2012,6908382.85,0
4,Conjunctivitis and Eye Diagnoses,2011,0,0
4,Conjunctivitis and Eye Diagnoses,2012,0,0
4,Dental Diagnoses,2011,17476462.65,0
4,Dental Diagnoses,2012,21437895.84,0
4,Depression,2011,6240867.322,0
4,Depression,2012,5958670.076,0
4,Depressive and Other Psychoses,2011,5675735.742,0
4,Depressive and Other Psychoses,2012,5492497.082,0
4,Developmental Language Disorder,2011,2048492.57,0
4,Developmental Language Disorder,2012,2589918.734,0
4,Developmental Speech and Learning,2011,5170435.806,0
4,Developmental Speech and Learning,2012,6271382.695,0
4,Diabetes2,2011,1528751.105,0
4,Diabetes2,2012,1682074.134,0
4,Epilepsy and Epilepsy Complex,2011,1703042.521,0
4,Epilepsy and Epilepsy Complex,2012,2124420.969,0
4,Major Mental Health,2011,29412644.64,0
4,Major Mental Health,2012,29332296.89,0
4,Psoriasis,2011,2072814.896,0
4,Psoriasis,2012,2085895.055,0
4,Schizophrenia,2011,5860330.399,0
4,Schizophrenia,2012,6012628.763,0
4,Social Problems,2011,17261921.97,0
4,Social Problems,2012,22855691.66,0
4,Upper Respiratory Infectons,2011,105576342.1,0
4,Upper Respiratory Infectons,2012,131288685.5,0
5,Acute Bronchitis and Bronchiolitis,2011,14527021.33,0
5,Acute Bronchitis and Bronchiolitis,2012,16971318.91,0
5,Acute Respiratory Diagnoses - Moderate,2011,9168818.148,0
5,Acute Respiratory Diagnoses - Moderate,2012,10646045.86,0
5,Acute Skin Diagnoses,2011,15782533.96,0
5,Acute Skin Diagnoses,2012,18753418.23,0
5,Acute Stress and Anxiety,2011,4181555.774,0
5,Acute Stress and Anxiety,2012,6526325.443,0
5,ADHD,2011,32994792.57,0
5,ADHD,2012,40495355.39,0
5,Allergies,2011,25778270.96,0
5,Allergies,2012,29191857,0
5,Asthma,2011,17049270.82,0
5,Asthma,2012,19737748.01,0
5,Autism,2011,3367927.359,0
5,Autism,2012,4026343.737,0
5,BiPolar,2011,2369588.641,0
5,BiPolar,2012,5887856.743,0
5,Chronic Mental Health,2011,1647314.011,0
5,Chronic Mental Health,2012,3015888.975,0
5,Chronic Stress,2011,2079378.935,0
5,Chronic Stress,2012,3029288.329,0
5,Conduct and Behavior,2011,15210602.68,0
5,Conduct and Behavior,2012,28073102.36,0
5,Conjunctivitis and Eye Diagnoses,2011,0,0
5,Conjunctivitis and Eye Diagnoses,2012,0,0
5,Dental Diagnoses,2011,5083998.937,0
5,Dental Diagnoses,2012,6564385.531,0
5,Depression,2011,7833278.795,0
5,Depression,2012,14405709.3,0
5,Depressive and Other Psychoses,2011,5881013.729,0
5,Depressive and Other Psychoses,2012,13690377.78,0
5,Developmental Language Disorder,2011,11354482.48,0
5,Developmental Language Disorder,2012,14861991.18,0
5,Developmental Speech and Learning,2011,12737156.16,0
5,Developmental Speech and Learning,2012,16367569.5,0
5,Diabetes2,2011,1065655.898,0
5,Diabetes2,2012,1381565.429,0
5,Epilepsy and Epilepsy Complex,2011,1284542.367,0
5,Epilepsy and Epilepsy Complex,2012,1249740.912,0
5,Major Mental Health,2011,38529646.59,0
5,Major Mental Health,2012,69039539.6,0
5,Psoriasis,2011,802610.2053,0
5,Psoriasis,2012,575924.9713,0
5,Schizophrenia,2011,5601873.605,0
5,Schizophrenia,2012,9326846.518,0
5,Social Problems,2011,4526086.653,0
5,Social Problems,2012,8119341.484,0
5,Upper Respiratory Infectons,2011,53663683.93,0
5,Upper Respiratory Infectons,2012,55302395.17,0
6,Acute Bronchitis and Bronchiolitis,2011,89230488.71,0
6,Acute Bronchitis and Bronchiolitis,2012,85505167.27,0
6,Acute Respiratory Diagnoses - Moderate,2011,64456977.4,0
6,Acute Respiratory Diagnoses - Moderate,2012,74591561.38,0
6,Acute Skin Diagnoses,2011,95985524.45,0
6,Acute Skin Diagnoses,2012,120078118.1,0
6,Acute Stress and Anxiety,2011,29615241.65,0
6,Acute Stress and Anxiety,2012,44889701.92,0
6,ADHD,2011,84974262.1,0
6,ADHD,2012,116111519.2,0
6,Allergies,2011,98383544.45,0
6,Allergies,2012,118064354.9,0
6,Asthma,2011,113802408.8,0
6,Asthma,2012,137327415,0
6,Autism,2011,70039060.55,0
6,Autism,2012,120989980.5,0
6,BiPolar,2011,12825757.25,0
6,BiPolar,2012,15882817.77,0
6,Chronic Mental Health,2011,19046521.13,0
6,Chronic Mental Health,2012,21496230.95,0
6,Chronic Stress,2011,14785215.52,0
6,Chronic Stress,2012,17500075.49,0
6,Conduct and Behavior,2011,57768088.24,0
6,Conduct and Behavior,2012,83565169.49,0
6,Conjunctivitis and Eye Diagnoses,2011,1061.15375,0
6,Conjunctivitis and Eye Diagnoses,2012,6026.191561,0
6,Dental Diagnoses,2011,85715672.49,0
6,Dental Diagnoses,2012,120767331.5,0
6,Depression,2011,57112936.48,0
6,Depression,2012,81840018.85,0
6,Depressive and Other Psychoses,2011,33864688.41,0
6,Depressive and Other Psychoses,2012,49119478.64,0
6,Developmental Language Disorder,2011,7558924.882,0
6,Developmental Language Disorder,2012,11364152.77,0
6,Developmental Speech and Learning,2011,87548024.73,0
6,Developmental Speech and Learning,2012,108309840.9,0
6,Diabetes2,2011,11242939.08,0
6,Diabetes2,2012,17615491.32,0
6,Epilepsy and Epilepsy Complex,2011,9936493.438,0
6,Epilepsy and Epilepsy Complex,2012,11644947.49,0
6,Major Mental Health,2011,189050828.4,0
6,Major Mental Health,2012,217502394.9,0
6,Psoriasis,2011,4182718.221,0
6,Psoriasis,2012,5131320.65,0
6,Schizophrenia,2011,27464954.78,0
6,Schizophrenia,2012,33842018.45,0
6,Social Problems,2011,27002717.12,0
6,Social Problems,2012,35789159.5,0
6,Upper Respiratory Infectons,2011,363477104.9,0
6,Upper Respiratory Infectons,2012,391790558.9,0
9,Acute Bronchitis and Bronchiolitis,2011,6184888.777,0
9,Acute Bronchitis and Bronchiolitis,2012,5737183.345,0
9,Acute Respiratory Diagnoses - Moderate,2011,6234960.191,0
9,Acute Respiratory Diagnoses - Moderate,2012,7544614.568,0
9,Acute Skin Diagnoses,2011,15632498.12,0
9,Acute Skin Diagnoses,2012,13267733.12,0
9,Acute Stress and Anxiety,2011,4242188.281,0
9,Acute Stress and Anxiety,2012,5697087.002,0
9,ADHD,2011,15687174.24,0
9,ADHD,2012,16123412.78,0
9,Allergies,2011,12010289.9,0
9,Allergies,2012,11012951.67,0
9,Asthma,2011,17945081.35,0
9,Asthma,2012,18038931.49,0
9,Autism,2011,1520238.959,0
9,Autism,2012,1997348.47,0
9,BiPolar,2011,2655593.838,0
9,BiPolar,2012,2730336.754,0
9,Chronic Mental Health,2011,3089488.301,0
9,Chronic Mental Health,2012,3794794.402,0
9,Chronic Stress,2011,1618852.298,0
9,Chronic Stress,2012,1919291.774,0
9,Conduct and Behavior,2011,7569854.164,0
9,Conduct and Behavior,2012,8094968.613,0
9,Conjunctivitis and Eye Diagnoses,2011,3777.666667,0
9,Conjunctivitis and Eye Diagnoses,2012,0,0
9,Dental Diagnoses,2011,3502236.302,0
9,Dental Diagnoses,2012,7681687.822,0
9,Depression,2011,7062931.958,0
9,Depression,2012,7610923.697,0
9,Depressive and Other Psychoses,2011,6980406.758,0
9,Depressive and Other Psychoses,2012,8037998.951,0
9,Developmental Language Disorder,2011,1092184.058,0
9,Developmental Language Disorder,2012,1246677.831,0
9,Developmental Speech and Learning,2011,1306899.863,0
9,Developmental Speech and Learning,2012,1410802.972,0
9,Diabetes2,2011,1178893.112,0
9,Diabetes2,2012,1527202.642,0
9,Epilepsy and Epilepsy Complex,2011,757596.944,0
9,Epilepsy and Epilepsy Complex,2012,1037773.846,0
9,Major Mental Health,2011,24187728.79,0
9,Major Mental Health,2012,26102560.05,0
9,Psoriasis,2011,878177.6895,0
9,Psoriasis,2012,1005127.533,0
9,Schizophrenia,2011,4870653.409,0
9,Schizophrenia,2012,5380689.61,0
9,Social Problems,2011,2279298.888,0
9,Social Problems,2012,2208197.638,0
9,Upper Respiratory Infectons,2011,38937164.6,0
9,Upper Respiratory Infectons,2012,30784005.91,0
10,Acute Bronchitis and Bronchiolitis,2011,5006040.554,0.09425092
10,Acute Bronchitis and Bronchiolitis,2012,4540432.318,0.091700972
10,Acute Respiratory Diagnoses - Moderate,2011,3097354.198,0.055615536
10,Acute Respiratory Diagnoses - Moderate,2012,3363737.262,0.057393321
10,Acute Skin Diagnoses,2011,4491130.617,0.087785311
10,Acute Skin Diagnoses,2012,5098255.19,0.090809002
10,Acute Stress and Anxiety,2011,761484.6772,0.010766807
10,Acute Stress and Anxiety,2012,1114187.016,0.01175333
10,ADHD,2011,7771332.054,0.08929334
10,ADHD,2012,8646800.95,0.091677766
10,Allergies,2011,4064075.03,0.089764324
10,Allergies,2012,4512453.406,0.09217947
10,Asthma,2011,6226199.18,0.111266013
10,Asthma,2012,6698573.247,0.111005094
10,Autism,2011,645462.8057,0.004655058
10,Autism,2012,686965.9285,0.004432666
10,BiPolar,2011,689597.8995,0.005336248
10,BiPolar,2012,671421.5457,0.00470365
10,Chronic Mental Health,2011,417581.9594,0.005046101
10,Chronic Mental Health,2012,496608.0201,0.005126698
10,Chronic Stress,2011,275362.4128,0.003469681
10,Chronic Stress,2012,353730.3547,0.003459285
10,Conduct and Behavior,2011,2032021.355,0.02099859
10,Conduct and Behavior,2012,2342526.86,0.022328877
10,Conjunctivitis and Eye Diagnoses,2011,0,0
10,Conjunctivitis and Eye Diagnoses,2012,0,0
10,Dental Diagnoses,2011,29163532.67,0.488869949
10,Dental Diagnoses,2012,34331124.71,0.512228537
10,Depression,2011,1832110.933,0.017069808
10,Depression,2012,2030356.205,0.017312285
10,Depressive and Other Psychoses,2011,1483987.896,0.014173122
10,Depressive and Other Psychoses,2012,1734919.66,0.014861093
10,Developmental Language Disorder,2011,225661.9993,0.004933377
10,Developmental Language Disorder,2012,255778.0878,0.004585191
10,Developmental Speech and Learning,2011,6228158.411,0.070675874
10,Developmental Speech and Learning,2012,5632700.248,0.067008205
10,Diabetes2,2011,334574.1742,0.002736285
10,Diabetes2,2012,417378.5491,0.00269677
10,Epilepsy and Epilepsy Complex,2011,210780.6297,0.002980699
10,Epilepsy and Epilepsy Complex,2012,237832.645,0.002788704
10,Major Mental Health,2011,7361704.608,0.035631323
10,Major Mental Health,2012,8328495.652,0.036800226
10,Psoriasis,2011,161832.3434,0.003487035
10,Psoriasis,2012,222965.4635,0.004992954
10,Schizophrenia,2011,1800653.035,0.014812594
10,Schizophrenia,2012,2074909.203,0.01542512
10,Social Problems,2011,497862.3335,0.006425799
10,Social Problems,2012,356014.7133,0.004418744
10,Upper Respiratory Infectons,2011,13935544.12,0.276583463
10,Upper Respiratory Infectons,2012,14213399.14,0.26416592
12,Acute Bronchitis and Bronchiolitis,2011,42599413.4,0.089612647
12,Acute Bronchitis and Bronchiolitis,2012,42830567.7,0.092884828
12,Acute Respiratory Diagnoses - Moderate,2011,34126220.28,0.042839848
12,Acute Respiratory Diagnoses - Moderate,2012,35006401.19,0.042940667
12,Acute Skin Diagnoses,2011,44990367.94,0.075773479
12,Acute Skin Diagnoses,2012,43268433.03,0.075389523
12,Acute Stress and Anxiety,2011,5490832.274,0.007647662
12,Acute Stress and Anxiety,2012,7117010.899,0.009335442
12,ADHD,2011,54932246.23,0.067814198
12,ADHD,2012,56411190.6,0.07303031
12,Allergies,2011,58986024.39,0.116402885
12,Allergies,2012,57625031.7,0.119381706
12,Asthma,2011,69867881.16,0.105875505
12,Asthma,2012,69907231.1,0.107105377
12,Autism,2011,10260014.35,0.005997002
12,Autism,2012,10320010.58,0.006951308
12,BiPolar,2011,6144492.597,0.004221908
12,BiPolar,2012,6209223.417,0.004625624
12,Chronic Mental Health,2011,2930631.331,0.002565795
12,Chronic Mental Health,2012,3609959.592,0.003841405
12,Chronic Stress,2011,2363050.475,0.001563604
12,Chronic Stress,2012,3153271.036,0.002379868
12,Conduct and Behavior,2011,17259365.7,0.021192195
12,Conduct and Behavior,2012,19328640.27,0.025458963
12,Conjunctivitis and Eye Diagnoses,2011,72524.2837,1.88321E-05
12,Conjunctivitis and Eye Diagnoses,2012,64814.24873,1.07554E-05
12,Dental Diagnoses,2011,21801593.24,0.07611037
12,Dental Diagnoses,2012,23657867.78,0.099786092
12,Depression,2011,11881724.91,0.011307919
12,Depression,2012,12068196.28,0.01192798
12,Depressive and Other Psychoses,2011,7916051.367,0.006353623
12,Depressive and Other Psychoses,2012,9900681.557,0.009590658
12,Developmental Language Disorder,2011,26864207.17,0.026324554
12,Developmental Language Disorder,2012,27688039.9,0.026908923
12,Developmental Speech and Learning,2011,32806958.85,0.039813294
12,Developmental Speech and Learning,2012,32010258.04,0.039927003
12,Diabetes2,2011,4132488.6,0.003708006
12,Diabetes2,2012,4275929.68,0.003668684
12,Epilepsy and Epilepsy Complex,2011,5525674.3,0.003378451
12,Epilepsy and Epilepsy Complex,2012,5474923.001,0.003462628
12,Major Mental Health,2011,47843401.71,0.024082735
12,Major Mental Health,2012,51902420.97,0.028401348
12,Psoriasis,2011,3207889.392,0.005422308
12,Psoriasis,2012,3679954.973,0.005246015
12,Schizophrenia,2011,11029394.97,0.010368036
12,Schizophrenia,2012,10081832.78,0.010101728
12,Social Problems,2011,2319330.323,0.003561248
12,Social Problems,2012,2121220.527,0.003272657
12,Upper Respiratory Infectons,2011,158836827.1,0.297651071
12,Upper Respiratory Infectons,2012,156115104.5,0.303717287
13,Acute Bronchitis and Bronchiolitis,2011,31371639.54,0.090844426
13,Acute Bronchitis and Bronchiolitis,2012,35106532.34,0.09905333
13,Acute Respiratory Diagnoses - Moderate,2011,21926016.9,0.049878181
13,Acute Respiratory Diagnoses - Moderate,2012,23672119.5,0.051113404
13,Acute Skin Diagnoses,2011,44946069.95,0.100254606
13,Acute Skin Diagnoses,2012,39443227.82,0.088999476
13,Acute Stress and Anxiety,2011,4850934.35,0.011917111
13,Acute Stress and Anxiety,2012,5400068.62,0.013066157
13,ADHD,2011,33139436.68,0.090162233
13,ADHD,2012,37978139.98,0.095549139
13,Allergies,2011,54472751.54,0.160428549
13,Allergies,2012,52622382.91,0.154186298
13,Asthma,2011,40063878.57,0.11013354
13,Asthma,2012,43489476.03,0.115167934
13,Autism,2011,3417208.429,0.006276071
13,Autism,2012,3584776.122,0.006966872
13,BiPolar,2011,3062084.098,0.006355842
13,BiPolar,2012,3311969.123,0.006770778
13,Chronic Mental Health,2011,1807038.673,0.003466911
13,Chronic Mental Health,2012,2066736.739,0.003882797
13,Chronic Stress,2011,1739209.813,0.003080683
13,Chronic Stress,2012,2101200.573,0.003717707
13,Conduct and Behavior,2011,13485606.02,0.030181578
13,Conduct and Behavior,2012,15216881.87,0.032071031
13,Conjunctivitis and Eye Diagnoses,2011,0,0
13,Conjunctivitis and Eye Diagnoses,2012,0,0
13,Dental Diagnoses,2011,10235017.73,0.025958412
13,Dental Diagnoses,2012,9479771.543,0.023390086
13,Depression,2011,8067073.82,0.017436977
13,Depression,2012,8885351.805,0.018319503
13,Depressive and Other Psychoses,2011,5008516.78,0.011322376
13,Depressive and Other Psychoses,2012,5579390.082,0.012631414
13,Developmental Language Disorder,2011,8278135.717,0.016763548
13,Developmental Language Disorder,2012,7419103.477,0.01508349
13,Developmental Speech and Learning,2011,11665512.74,0.027962204
13,Developmental Speech and Learning,2012,10956346.83,0.025790171
13,Diabetes2,2011,1698561.285,0.003529162
13,Diabetes2,2012,1782120.579,0.003630871
13,Epilepsy and Epilepsy Complex,2011,1995561.426,0.003248544
13,Epilepsy and Epilepsy Complex,2012,1847345.133,0.002830952
13,Major Mental Health,2011,31668570.6,0.035294387
13,Major Mental Health,2012,35648643.02,0.038323441
13,Psoriasis,2011,1190521.072,0.003131964
13,Psoriasis,2012,1257425.284,0.00301245
13,Schizophrenia,2011,6347568.867,0.015019592
13,Schizophrenia,2012,6071350.045,0.014388528
13,Social Problems,2011,9357588.941,0.0145388
13,Social Problems,2012,10900452.03,0.015425905
13,Upper Respiratory Infectons,2011,133167698.3,0.331571782
13,Upper Respiratory Infectons,2012,134767268.6,0.326182121
15,Acute Bronchitis and Bronchiolitis,2011,2529804.122,0.048709965
15,Acute Bronchitis and Bronchiolitis,2012,2807844.846,0.046040839
15,Acute Respiratory Diagnoses - Moderate,2011,2265378.452,0.043304428
15,Acute Respiratory Diagnoses - Moderate,2012,3582471.085,0.061013822
15,Acute Skin Diagnoses,2011,3713264.365,0.068062323
15,Acute Skin Diagnoses,2012,4089623.09,0.063425833
15,Acute Stress and Anxiety,2011,286856.2734,0.005061658
15,Acute Stress and Anxiety,2012,349494.4022,0.005147313
15,ADHD,2011,1380822.988,0.017641204
15,ADHD,2012,1916627.39,0.020063375
15,Allergies,2011,2604714.304,0.062471481
15,Allergies,2012,2899929.141,0.056746552
15,Asthma,2011,4442424.865,0.092218992
15,Asthma,2012,5754949.607,0.102617882
15,Autism,2011,418105.2946,0.00168118
15,Autism,2012,572474.5212,0.001863123
15,BiPolar,2011,165422.7793,0.00114564
15,BiPolar,2012,182014.2219,0.001244489
15,Chronic Mental Health,2011,415589.2721,0.005554149
15,Chronic Mental Health,2012,484320.522,0.004589974
15,Chronic Stress,2011,78475.87481,0.001866515
15,Chronic Stress,2012,138648.3298,0.001973826
15,Conduct and Behavior,2011,1115025.515,0.010365138
15,Conduct and Behavior,2012,1120558.31,0.009789046
15,Conjunctivitis and Eye Diagnoses,2011,0,0
15,Conjunctivitis and Eye Diagnoses,2012,0,0
15,Dental Diagnoses,2011,869627.659,0.010515095
15,Dental Diagnoses,2012,1046777.258,0.010645457
15,Depression,2011,465665.355,0.00545789
15,Depression,2012,699711.08,0.006323898
15,Depressive and Other Psychoses,2011,367158.1578,0.003952113
15,Depressive and Other Psychoses,2012,443332.9127,0.004031968
15,Developmental Language Disorder,2011,207406.5627,0.003194907
15,Developmental Language Disorder,2012,229426.27,0.003130701
15,Developmental Speech and Learning,2011,471499.4143,0.007687155
15,Developmental Speech and Learning,2012,390403.6616,0.006214173
15,Diabetes2,2011,139916.8131,0.002379693
15,Diabetes2,2012,137224.7562,0.002532702
15,Epilepsy and Epilepsy Complex,2011,124115.9014,0.001213829
15,Epilepsy and Epilepsy Complex,2012,104036.4771,0.001124154
15,Major Mental Health,2011,2799531.201,0.013674769
15,Major Mental Health,2012,3148610.29,0.01368768
15,Psoriasis,2011,176869.1569,0.003857665
15,Psoriasis,2012,307714.6162,0.005728757
15,Schizophrenia,2011,240123.4894,0.001550024
15,Schizophrenia,2012,297947.6863,0.00176354
15,Social Problems,2011,204298.1442,0.003182528
15,Social Problems,2012,229932.7073,0.00342993
15,Upper Respiratory Infectons,2011,13055015.4,0.232612729
15,Upper Respiratory Infectons,2012,14881997.03,0.226856804
17,Acute Bronchitis and Bronchiolitis,2011,28997045.79,0.088221223
17,Acute Bronchitis and Bronchiolitis,2012,27046006.23,0.082854847
17,Acute Respiratory Diagnoses - Moderate,2011,25825448.35,0.033852099
17,Acute Respiratory Diagnoses - Moderate,2012,25654787.69,0.032109034
17,Acute Skin Diagnoses,2011,35167532.5,0.088398968
17,Acute Skin Diagnoses,2012,36340232.42,0.090279587
17,Acute Stress and Anxiety,2011,10863373.7,0.010613633
17,Acute Stress and Anxiety,2012,12695780.76,0.014087347
17,ADHD,2011,36922093.82,0.069807598
17,ADHD,2012,33729567.31,0.070969326
17,Allergies,2011,31601074.34,0.090606783
17,Allergies,2012,29443695.35,0.087266015
17,Asthma,2011,50541171.79,0.08696592
17,Asthma,2012,48533379.32,0.084923384
17,Autism,2011,7562063.818,0.005713878
17,Autism,2012,7937912.745,0.006513741
17,BiPolar,2011,9304050.571,0.007959288
17,BiPolar,2012,7508194.541,0.007182039
17,Chronic Mental Health,2011,6661949.626,0.005441548
17,Chronic Mental Health,2012,6269301.932,0.005672655
17,Chronic Stress,2011,3114471.835,0.002481836
17,Chronic Stress,2012,3014691.185,0.002884128
17,Conduct and Behavior,2011,13971287,0.017727206
17,Conduct and Behavior,2012,12807382.52,0.018412216
17,Conjunctivitis and Eye Diagnoses,2011,793.0651261,0
17,Conjunctivitis and Eye Diagnoses,2012,313.48,0
17,Dental Diagnoses,2011,5808390.12,0.013828424
17,Dental Diagnoses,2012,5772187.041,0.015845248
17,Depression,2011,16477618.82,0.016500895
17,Depression,2012,15828336.79,0.016489692
17,Depressive and Other Psychoses,2011,15257103.53,0.014327761
17,Depressive and Other Psychoses,2012,14643127.39,0.014957901
17,Developmental Language Disorder,2011,17915233.4,0.031478698
17,Developmental Language Disorder,2012,18368995.2,0.033836477
17,Developmental Speech and Learning,2011,28090296.33,0.052923858
17,Developmental Speech and Learning,2012,25850490.89,0.047444399
17,Diabetes2,2011,4540576.503,0.004330473
17,Diabetes2,2012,4463363.357,0.004235691
17,Epilepsy and Epilepsy Complex,2011,3185039.301,0.002055902
17,Epilepsy and Epilepsy Complex,2012,2827953.753,0.001901558
17,Major Mental Health,2011,54462279.83,0.03143037
17,Major Mental Health,2012,52826640.94,0.033821067
17,Psoriasis,2011,1858143.919,0.003127118
17,Psoriasis,2012,1900883.506,0.003573986
17,Schizophrenia,2011,12702432.39,0.012228083
17,Schizophrenia,2012,12621504.6,0.01294808
17,Social Problems,2011,14154871.82,0.045532129
17,Social Problems,2012,14987115.61,0.042006776
17,Upper Respiratory Infectons,2011,107061011.8,0.307017044
17,Upper Respiratory Infectons,2012,99343514.76,0.294175291
18,Acute Bronchitis and Bronchiolitis,2011,16009492.75,0.102158806
18,Acute Bronchitis and Bronchiolitis,2012,15482588.99,0.094719265
18,Acute Respiratory Diagnoses - Moderate,2011,10026570.33,0.044273227
18,Acute Respiratory Diagnoses - Moderate,2012,10652426.74,0.043561188
18,Acute Skin Diagnoses,2011,21414221.93,0.106400233
18,Acute Skin Diagnoses,2012,23794584.26,0.112298117
18,Acute Stress and Anxiety,2011,6226622.245,0.019603204
18,Acute Stress and Anxiety,2012,6928375.345,0.0220081
18,ADHD,2011,34676981.9,0.106497399
18,ADHD,2012,38020117.79,0.110651142
18,Allergies,2011,18582422.19,0.114503598
